location,sex,age,cause_id,year,val,last_update
Middle SDI,Male,75-79 years,1023,2002,2541.950962,12/31/2019
Middle SDI,Female,75-79 years,1023,2002,2779.321505,12/31/2019
Middle SDI,Male,80+ years,1023,2002,3857.411634,12/31/2019
Middle SDI,Female,80+ years,1023,2002,5470.13785,12/31/2019
High SDI,Male,15-19 years,504,2000,24.98185884,12/31/2019
High SDI,Female,15-19 years,504,2000,16.93278988,12/31/2019
High SDI,Male,20-24 years,504,2000,37.24756226,12/31/2019
High SDI,Female,20-24 years,504,2000,24.7044886,12/31/2019
High SDI,Male,25-29 years,504,2000,53.20267891,12/31/2019
High SDI,Female,25-29 years,504,2000,37.7878579,12/31/2019
High SDI,Male,30-34 years,504,2000,84.49976797,12/31/2019
High SDI,Female,30-34 years,504,2000,54.4444707,12/31/2019
High SDI,Male,35-39 years,504,2000,137.9478134,12/31/2019
High SDI,Female,35-39 years,504,2000,83.01814367,12/31/2019
High SDI,Male,40-44 years,504,2000,204.7836575,12/31/2019
High SDI,Female,40-44 years,504,2000,114.2990679,12/31/2019
High SDI,Male,45-49 years,504,2000,296.0744694,12/31/2019
High SDI,Female,45-49 years,504,2000,148.4354458,12/31/2019
High SDI,Male,50-54 years,504,2000,430.7872777,12/31/2019
High SDI,Female,50-54 years,504,2000,222.6054184,12/31/2019
High SDI,Male,55-59 years,504,2000,574.7130229,12/31/2019
High SDI,Female,55-59 years,504,2000,333.311558,12/31/2019
High SDI,Male,60-64 years,504,2000,918.4422793,12/31/2019
High SDI,Female,60-64 years,504,2000,583.2319442,12/31/2019
High SDI,Male,65-69 years,504,2000,1446.232289,12/31/2019
High SDI,Female,65-69 years,504,2000,1073.161384,12/31/2019
High SDI,Male,70-74 years,504,2000,2410.390763,12/31/2019
High SDI,Female,70-74 years,504,2000,2247.627039,12/31/2019
High SDI,Male,75-79 years,504,2000,3361.637179,12/31/2019
High SDI,Female,75-79 years,504,2000,4407.393988,12/31/2019
High SDI,Male,80+ years,504,2000,10428.68066,12/31/2019
High SDI,Female,80+ years,504,2000,26025.2376,12/31/2019
Middle SDI,Male,<5 years,495,2002,665.4630535,12/31/2019
Middle SDI,Female,<5 years,495,2002,444.0698783,12/31/2019
Middle SDI,Male,5-9 years,495,2002,118.2312732,12/31/2019
Middle SDI,Female,5-9 years,495,2002,100.9824811,12/31/2019
Middle SDI,Male,10-14 years,495,2002,137.4070028,12/31/2019
Middle SDI,Female,10-14 years,495,2002,91.44075814,12/31/2019
Middle SDI,Male,15-19 years,495,2002,294.3095795,12/31/2019
Middle SDI,Female,15-19 years,495,2002,271.3518854,12/31/2019
Middle SDI,Male,20-24 years,495,2002,339.4461458,12/31/2019
Middle SDI,Female,20-24 years,495,2002,388.3961098,12/31/2019
Middle SDI,Male,25-29 years,495,2002,476.565182,12/31/2019
Middle SDI,Female,25-29 years,495,2002,493.393423,12/31/2019
Middle SDI,Male,30-34 years,495,2002,870.5764711,12/31/2019
Middle SDI,Female,30-34 years,495,2002,714.6039053,12/31/2019
Middle SDI,Male,35-39 years,495,2002,1500.241655,12/31/2019
Middle SDI,Female,35-39 years,495,2002,1244.190019,12/31/2019
Middle SDI,Male,40-44 years,495,2002,2409.246383,12/31/2019
Middle SDI,Female,40-44 years,495,2002,1759.435969,12/31/2019
Middle SDI,Male,45-49 years,495,2002,5234.391658,12/31/2019
Middle SDI,Female,45-49 years,495,2002,3331.232614,12/31/2019
Middle SDI,Male,50-54 years,495,2002,9104.351154,12/31/2019
Middle SDI,Female,50-54 years,495,2002,5533.194064,12/31/2019
Middle SDI,Male,55-59 years,495,2002,12431.99701,12/31/2019
Middle SDI,Female,55-59 years,495,2002,7505.196512,12/31/2019
Middle SDI,Male,60-64 years,495,2002,25371.50899,12/31/2019
Middle SDI,Female,60-64 years,495,2002,16162.81898,12/31/2019
Middle SDI,Male,65-69 years,495,2002,39748.88843,12/31/2019
Middle SDI,Female,65-69 years,495,2002,27829.04622,12/31/2019
Middle SDI,Male,70-74 years,495,2002,61097.26775,12/31/2019
Middle SDI,Female,70-74 years,495,2002,53137.45111,12/31/2019
Middle SDI,Male,75-79 years,495,2002,63512.62189,12/31/2019
Middle SDI,Female,75-79 years,495,2002,63531.43214,12/31/2019
Middle SDI,Male,80+ years,495,2002,98394.68428,12/31/2019
