Model_Name,Accuracy,Precision,Recall,F1 Score,date_added
Random Forest Entropy,84.68085106382979,82.70676691729322,89.43089430894308,85.93749999999999,10/29/2023
ExtraTreesClassifier,82.97872340425532,80.2919708029197,89.43089430894308,84.61538461538463,10/29/2023
XGBoost,77.02127659574468,79.48717948717949,75.60975609756098,77.49999999999999,10/29/2023
