Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,RMSE,date_added
Random Forest (Entropy),83.82978723404256,81.95488721804512,88.6178861788618,0.7857142857142857,85.15625,40.212203080604084,10/29/2023
K-Nearest Neighbors (K=9),52.34042553191489,86.66666666666667,10.569105691056912,0.9821428571428571,18.84057971014493,69.03591418101531,10/29/2023
Extra Trees (100 Estimators),83.40425531914893,80.0,91.05691056910568,0.75,85.17110266159696,40.737875105178304,10/29/2023
XGBoost (500 Estimators),80.0,74.35897435897436,94.3089430894309,0.6428571428571429,83.15412186379928,44.721359549995796,10/29/2023
AdaBoost,77.02127659574468,75.18248175182481,83.73983739837398,0.6964285714285714,79.23076923076921,47.93612771621767,10/29/2023
Decision Tree,63.40425531914894,59.893048128342244,91.05691056910568,0.33035714285714285,72.25806451612902,60.494416833994734,10/29/2023
Gradient Boosting,83.82978723404256,84.5528455284553,84.5528455284553,0.8303571428571429,84.5528455284553,40.212203080604084,10/29/2023
