Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,RMSE,date_added
Random Forest (Entropy),78.72340425531915,73.54838709677419,92.6829268292683,0.6339285714285714,82.01438848920863,46.12656040144426,10/30/2023
K-Nearest Neighbors (K=9),52.34042553191489,86.66666666666667,10.569105691056912,0.9821428571428571,18.84057971014493,69.03591418101531,10/30/2023
Extra Trees (100 Estimators),81.27659574468085,77.62237762237763,90.2439024390244,0.7142857142857143,83.45864661654136,43.27054917067629,10/30/2023
XGBoost (500 Estimators),80.0,74.35897435897436,94.3089430894309,0.6428571428571429,83.15412186379928,44.721359549995796,10/30/2023
AdaBoost,77.02127659574468,75.18248175182481,83.73983739837398,0.6964285714285714,79.23076923076921,47.93612771621767,10/30/2023
Decision Tree,65.95744680851064,62.874251497005986,85.36585365853658,0.44642857142857145,72.41379310344827,58.34599659915782,10/30/2023
Gradient Boosting,80.85106382978722,88.23529411764706,73.17073170731707,0.8928571428571429,80.0,43.75949744936837,10/30/2023
