Model_Name,Accuracy,Precision,Recall,F1 Score,date_added
Random Forest Entropy,80.0,79.23076923076923,83.73983739837398,81.42292490118577,10/30/2023
ExtraTreesClassifier,84.25531914893617,82.57575757575758,88.6178861788618,85.4901960784314,10/30/2023
XGBoost,77.02127659574468,79.48717948717949,75.60975609756098,77.49999999999999,10/30/2023
