Model_Name,Accuracy,Precision,Recall,F1 Score,date_added
Random Forest Entropy,82.12765957446808,81.3953488372093,85.36585365853658,83.33333333333333,10/31/2023
ExtraTreesClassifier,84.25531914893617,82.08955223880598,89.43089430894308,85.60311284046692,10/31/2023
XGBoost,77.02127659574468,79.48717948717949,75.60975609756098,77.49999999999999,10/31/2023
