Model,Accuracy,Precision,Sensitivity,Specificity,F1 Score,RMSE,date_added
Random Forest (Entropy),80.0,77.53623188405797,86.99186991869918,0.7232142857142857,81.99233716475095,44.721359549995796,02/19/2024
K-Nearest Neighbors (K=9),52.34042553191489,86.66666666666667,10.569105691056912,0.9821428571428571,18.84057971014493,69.03591418101531,02/19/2024
Extra Trees (100 Estimators),82.5531914893617,80.59701492537313,87.8048780487805,0.7678571428571429,84.04669260700388,41.76937695326362,02/19/2024
XGBoost (500 Estimators),80.0,74.35897435897436,94.3089430894309,0.6428571428571429,83.15412186379928,44.721359549995796,02/19/2024
AdaBoost,77.02127659574468,75.18248175182481,83.73983739837398,0.6964285714285714,79.23076923076921,47.93612771621767,02/19/2024
Decision Tree,65.95744680851064,62.57309941520468,86.99186991869918,0.42857142857142855,72.78911564625851,58.34599659915782,02/19/2024
Gradient Boosting,74.46808510638297,88.88888888888889,58.536585365853654,0.9196428571428571,70.58823529411764,50.52911526399113,02/19/2024
